"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Price","Target Price"
"AKO-A","Consumer Goods","Beverages - Soft Drinks",,,,13.19%,,,,,,,21.00,
"AKO-B","Consumer Goods","Beverages - Soft Drinks",3393.65,1.25,18.11%,-7.40%,-6.70%,16.10%,8.80%,41.40%,9.90%,4.50%,21.43,
"AKP","Financial","Closed-End Fund - Debt",,,,-2.23%,,,,,,,15.12,
"AKR","Financial","Property Management",2910.24,13.50,-16.42%,6.10%,4.70%,13.30%,2.50%,77.00%,30.50%,31.80%,35.25,40.58
"AKRX","Healthcare","Drugs - Generic",3589.92,3.31,8.52%,41.00%,8.07%,62.70%,12.80%,61.90%,30.90%,17.00%,28.39,37.00
"AKS","Basic Materials","Steel & Iron",1013.82,0.16,83.64%,-19.60%,-11.78%,2.30%,-19.90%,11.70%,1.80%,-2.20%,4.06,5.62
"AKTX","Healthcare","Biotechnology",106.42,,-73.50%,2.10%,,,,,,,8.95,19.00
"AL","Services","Rental & Leasing Services",3103.56,2.33,10.09%,37.20%,15.00%,83.80%,4.80%,,60.50%,25.70%,28.97,42.92
"ALB","Basic Materials","Specialty Chemicals",9146.40,2.89,15.46%,-2.60%,9.27%,9.10%,5.80%,35.70%,21.10%,4.80%,77.25,88.85
"ALCO","Consumer Goods","Farm Products",224.35,1.47,,90.60%,,13.90%,2.00%,24.60%,16.50%,5.20%,26.74,38.00
"ALD","Financial","Exchange Traded Fund",,,,,,,,,,,45.13,
"ALDR","Healthcare","Biotechnology",1757.60,17575.96,-25.00%,0.00%,23.46%,,,0.00%,,,32.53,46.50
"ALDW","Basic Materials","Oil & Gas Refining & Marketing",717.51,0.39,405.60%,-49.95%,-7.80%,5.60%,47.90%,15.30%,5.40%,2.90%,10.53,8.76
"ALDX","Healthcare","Biotechnology",73.69,,-16.00%,0.00%,,,,,,,6.11,20.33
"ALE","Utilities","Diversified Utilities",3072.58,2.06,12.96%,5.80%,5.00%,10.40%,5.40%,80.90%,15.00%,10.00%,59.50,63.13
"ALEX","Financial","Real Estate Development",1910.87,4.00,34.54%,82.20%,20.00%,16.80%,1.20%,14.60%,-3.10%,-2.80%,37.66,48.00
"ALFA","Financial","Exchange Traded Fund",,,,,,,,,,,35.41,
"ALFI","Financial","Exchange Traded Fund",,,,,,,,,,,20.50,
"ALG","Industrial Goods","Farm & Construction Machinery",760.29,0.87,9.97%,16.20%,6.60%,10.30%,8.50%,23.80%,8.20%,5.20%,63.89,61.33
"ALGN","Healthcare","Medical Appliances & Equipment",7730.85,8.17,26.08%,13.20%,23.31%,16.90%,17.30%,75.70%,22.80%,17.70%,92.93,99.45
"ALGT","Services","Regional Airlines",2256.92,1.73,-5.80%,31.20%,2.10%,13.70%,24.70%,81.30%,30.40%,17.90%,133.23,164.91
"ALIM","Healthcare","Drug Manufacturers - Major",96.34,3.43,66.70%,6.10%,,,395.20%,92.70%,,,1.52,7.50
"ALJ","Basic Materials","Oil & Gas Refining & Marketing",626.73,0.17,60.70%,18.40%,29.90%,1.50%,13.00%,16.80%,-0.20%,-1.80%,8.49,7.14
"ALK","Services","Regional Airlines",8517.61,1.49,1.56%,30.90%,3.91%,7.90%,26.90%,46.30%,24.40%,15.90%,66.81,81.11
"ALKS","Healthcare","Drug Delivery",7655.61,11.47,333.30%,-26.20%,,27.50%,-13.70%,80.50%,-40.20%,-41.20%,48.34,51.36
"ALL","Financial","Property & Casualty Insurance",25659.70,0.71,41.30%,24.60%,11.54%,2.20%,9.30%,,6.60%,4.20%,67.82,74.44
"ALLE","Services","Security & Protection Services",6703.05,3.08,11.75%,-4.60%,12.74%,1.00%,12.90%,43.80%,13.50%,9.10%,66.85,79.33
"ALLT","Technology","Communication Equipment",168.62,1.78,1200.00%,-30.72%,-3.80%,,,,,,5.11,5.13
"ALLY","Financial","Mortgage Investment",9709.64,1.16,14.86%,11.40%,7.50%,0.90%,6.00%,,60.10%,-1.70%,19.50,24.82
"ALN","Consumer Goods","Processed & Packaged Goods",24.10,0.12,,-28.00%,,3.20%,1.00%,17.70%,5.90%,0.90%,0.65,
"ALNY","Healthcare","Biotechnology",6712.74,224.51,-9.30%,-27.30%,46.09%,-16.30%,-23.40%,,,,74.33,118.58
"ALOG","Healthcare","Medical Laboratories & Research",1144.12,2.18,24.92%,16.30%,15.00%,5.40%,6.20%,43.50%,5.10%,2.70%,90.23,88.67
"ALOT","Technology","Computer Peripherals",114.91,1.17,,17.00%,,5.90%,5.30%,39.90%,6.10%,4.60%,15.14,23.00
"ALQA","Healthcare","Drug Manufacturers - Major",26.12,1.38,-10.30%,-5.40%,15.00%,62.70%,-40.70%,59.40%,-96.50%,-73.40%,0.88,2.67
"ALR","Healthcare","Medical Laboratories & Research",3718.59,1.54,19.63%,49.70%,10.00%,2.70%,4.20%,44.70%,2.90%,-3.70%,42.92,54.00
"ALRM","Technology","Application Software",1212.03,5.17,14.57%,0.00%,20.00%,,7.00%,63.10%,6.60%,4.60%,25.42,32.83
"ALSK","Technology","Telecom Services - Domestic",88.79,0.40,0.00%,18.80%,,-7.40%,9.60%,54.30%,7.20%,0.90%,1.69,3.45
"ALSN","Consumer Goods","Auto Parts",4662.35,2.44,15.32%,44.50%,12.12%,0.60%,9.00%,47.20%,20.30%,8.80%,27.27,30.79
"ALTS","Financial","Exchange Traded Fund",,,,,,,,,,,38.22,
"ALTY","Financial","Exchange Traded Fund",,,,,,,,,,,15.40,
"ALV","Consumer Goods","Auto Parts",9553.40,0.98,9.66%,-4.20%,7.78%,5.00%,10.20%,20.50%,8.80%,5.80%,105.89,108.34
"ALX","Financial","REIT - Retail",2199.22,10.10,,9.80%,,3.60%,6.80%,62.80%,45.80%,39.30%,418.90,465.00
"ALXN","Healthcare","Biotechnology",30282.36,10.73,28.64%,5.10%,18.28%,36.90%,1.60%,91.80%,21.70%,3.20%,129.70,171.75
"AM","Basic Materials","Oil & Gas Pipelines",4534.59,9.33,33.52%,0.00%,17.73%,,9.80%,72.60%,40.40%,35.10%,25.16,32.73
"AMAG","Healthcare","Diagnostic Substances",877.23,1.99,16.18%,17.50%,-1.71%,44.60%,4.90%,77.60%,8.20%,-4.90%,24.90,43.00
"AMAT","Technology","Semiconductor Equipment & Materials",33638.96,3.40,29.17%,10.10%,18.23%,0.20%,12.10%,41.10%,18.20%,14.60%,30.26,32.76
"AMBA","Technology","Semiconductor Equipment & Materials",2409.75,7.97,16.65%,35.50%,17.00%,27.30%,21.70%,64.80%,16.60%,14.90%,68.85,75.13
"AMBC","Financial","Surety & Title Insurance",835.56,1.99,-74.40%,44.00%,11.00%,6.10%,4.00%,,48.40%,15.20%,18.00,20.00
"AMBR","Technology","Application Software",253.71,3.65,21.60%,-36.30%,20.00%,15.90%,-40.30%,46.80%,-32.00%,-33.50%,9.00,12.40
"AMC","Services","Movie Production, Theaters",3134.13,1.04,38.74%,19.80%,15.65%,4.50%,4.70%,61.30%,7.50%,3.50%,31.61,34.47
"AMCC","Technology","Semiconductor - Integrated Circuits",612.97,3.76,480.00%,-22.96%,17.50%,-8.50%,-30.30%,57.70%,-22.60%,-21.90%,7.04,8.86
"AMCN","Services","Marketing Services",192.98,3.84,233.30%,277.58%,20.00%,-26.30%,-21.30%,-78.30%,,,2.98,6.90
"AMCO","Services","Basic Materials Wholesale",0.08,0.00,,0.00%,,,,,,,0.01,
"AMCX","Services","Entertainment - Diversified",3699.81,1.37,11.43%,24.00%,6.80%,19.10%,19.10%,55.80%,26.20%,13.10%,50.53,70.50
"AMD","Technology","Semiconductor - Broad Line",5053.01,1.30,85.70%,-27.10%,49.40%,-9.30%,-27.10%,28.60%,-7.30%,-8.70%,6.24,5.94
"AMDA","Healthcare","Medical Appliances & Equipment",22.53,1.24,33.30%,7.50%,,189.90%,-32.40%,70.90%,-46.60%,,0.97,2.00
"AME","Industrial Goods","Diversified Machinery",11223.13,2.87,8.64%,15.80%,9.95%,10.00%,13.30%,35.90%,22.40%,14.50%,47.60,53.29
"AMED","Healthcare","Home Health Care",1667.30,1.21,27.96%,-15.10%,26.50%,-4.40%,-2.20%,42.70%,4.60%,2.80%,48.44,54.57
"AMG","Financial","Asset Management",8098.58,3.52,17.27%,27.00%,12.86%,12.80%,12.30%,,33.40%,21.10%,146.74,192.75
"AMGN","Healthcare","Biotechnology",132625.50,5.90,9.98%,13.60%,7.93%,7.60%,12.50%,81.40%,40.70%,33.10%,172.64,190.69
"AMH","Financial","REIT - Residential",5146.71,6.76,12.50%,0.00%,8.00%,,-0.80%,54.80%,-4.40%,-8.40%,21.10,22.58
"AMID","Basic Materials","Oil & Gas Pipelines",457.15,2.22,106.71%,-26.20%,4.00%,2.20%,-16.10%,59.80%,-66.30%,-77.50%,14.14,13.75
"AMJ","Financial","Exchange Traded Fund",,,,,,,,,,,29.83,
"AMJL","Financial","Exchange Traded Fund",,,,,,,,,,,24.15,
"AMKR","Technology","Semiconductor - Integrated Circuits",2243.78,0.70,45.35%,-23.30%,16.84%,-0.40%,4.10%,15.20%,3.50%,0.70%,8.90,7.17
"AMLP","Financial","Exchange Traded Fund",,,,,,,,,,,12.08,
"AMNB","Financial","Regional - Mid-Atlantic Banks",232.92,4.20,4.16%,5.10%,4.00%,9.00%,18.90%,,88.30%,30.40%,26.68,27.50
"AMOT","Industrial Goods","Industrial Electrical Equipment",186.14,0.77,21.49%,21.90%,25.00%,23.60%,12.60%,29.40%,8.30%,4.20%,19.76,30.00
"AMP","Financial","Asset Management",16510.51,1.42,12.17%,17.00%,8.40%,4.90%,7.90%,47.40%,18.20%,12.50%,100.92,109.50
"AMPE","Healthcare","Biotechnology",53.93,53.93,,-4.50%,,,,70.60%,,,0.90,14.00
"AMPH","Healthcare","Drug Manufacturers - Other",875.44,3.26,55.98%,24.10%,25.00%,14.00%,0.20%,40.00%,9.30%,5.20%,18.67,20.20
"AMQ","Services","Business Services",,,,,,,,,,,,
"AMRB","Financial","Regional - Pacific Banks",69.20,3.25,8.39%,70.50%,15.00%,-4.00%,20.10%,,95.70%,26.30%,10.39,11.67
"AMRC","Services","Technical Services",237.85,0.36,32.00%,-38.20%,6.00%,0.40%,1.00%,19.10%,2.00%,1.20%,4.95,7.75
"AMRI","Healthcare","Biotechnology",665.78,1.46,23.04%,49.20%,11.20%,15.20%,2.20%,26.90%,1.90%,-7.40%,15.08,18.00
"AMRK","Financial","Investment Brokerage - National",119.14,0.02,27.66%,0.00%,,0.70%,2.80%,0.50%,0.30%,0.20%,16.78,21.75
"AMRN","Healthcare","Drug Manufacturers - Other",588.94,5.51,52.20%,19.80%,,,-96.20%,70.40%,-75.60%,-91.20%,2.71,6.83
"AMRS","Basic Materials","Specialty Chemicals",101.71,2.76,40.00%,27.10%,30.00%,-15.70%,2780.40%,-5.40%,,,0.44,2.63
"AMS","Healthcare","Specialized Health Services",13.59,0.81,,-44.95%,,-0.20%,-1.40%,41.00%,11.10%,2.80%,2.54,
"AMSC","Industrial Goods","Industrial Electrical Equipment",94.68,1.11,44.40%,46.40%,35.00%,-19.60%,-26.10%,22.90%,-24.80%,-28.50%,6.38,10.70
"AMSF","Financial","Property & Casualty Insurance",1129.44,2.83,-6.25%,15.30%,10.00%,10.10%,15.70%,,29.90%,20.50%,57.92,64.33
"AMSG","Healthcare","Specialized Health Services",3640.30,1.28,13.09%,13.00%,8.53%,30.00%,11.20%,93.20%,23.40%,6.20%,65.11,94.50
"AMSWA","Technology","Application Software",320.48,2.85,9.84%,4.70%,16.00%,5.90%,9.60%,51.70%,10.10%,8.30%,10.64,12.75
"AMT","Financial","REIT - Diversified",48964.92,9.33,35.37%,8.80%,30.05%,19.20%,5.80%,70.80%,32.10%,13.20%,109.08,130.12
"AMTD","Financial","Investment Brokerage - National",17783.16,5.34,4.49%,8.20%,12.99%,4.80%,12.70%,,41.90%,26.20%,33.40,32.63
"AMTX","Basic Materials","Specialty Chemicals",28.56,0.20,15.40%,-7.30%,,78.30%,-14.60%,4.60%,-4.60%,-15.90%,1.30,1.75
"AMU","Financial","Exchange Traded Fund",,,,,,,,,,,18.75,
"AMWD","Consumer Goods","Home Furnishings & Fixtures",1377.52,1.41,11.77%,35.40%,8.00%,15.90%,19.70%,21.40%,10.40%,6.70%,79.81,88.00
"AMX","Technology","Wireless Communications",38569.61,0.79,30.83%,-14.60%,26.97%,7.30%,15.40%,37.00%,13.30%,2.80%,11.55,14.15
"AMZA","Financial","Exchange Traded Fund",,,,,,,,,,,11.14,
"AMZN","Services","Catalog & Mail Order Houses",376370.71,3.12,80.76%,-13.10%,50.63%,25.60%,5.90%,34.40%,3.20%,1.60%,774.52,870.33
"AN","Services","Auto Dealerships",5245.20,0.25,9.96%,21.30%,9.57%,10.90%,10.10%,15.60%,4.10%,2.00%,49.14,56.78
"ANAT","Financial","Property & Casualty Insurance",3084.90,0.98,,10.60%,,-0.20%,3.50%,,6.20%,5.30%,114.51,87.04
"ANCB","Financial","Savings & Loans",62.62,3.58,29.41%,15.80%,,-7.60%,22.70%,,81.80%,2.80%,24.75,25.00
"ANCX","Financial","Regional - Mid-Atlantic Banks",250.59,5.34,-5.36%,15.10%,8.00%,4.40%,28.60%,,88.40%,35.90%,23.53,23.67
"AND","Financial","Exchange Traded Fund",,,,,,,,,,,7.91,
"ANDA","Conglomerates","Conglomerates",17.41,,,,,,,,,,9.87,
"ANDE","Consumer Goods","Farm Products",1041.49,0.26,166.81%,-17.10%,8.00%,4.30%,-5.60%,8.70%,-2.20%,-1.20%,35.79,39.00
"ANET","Technology","Diversified Computer Systems",6000.44,6.16,12.01%,113.70%,22.08%,63.50%,15.00%,64.10%,18.80%,14.90%,84.43,82.88
"ANF","Services","Apparel Stores",1192.87,0.34,61.16%,-21.60%,16.50%,0.30%,3.50%,61.80%,2.80%,1.40%,17.62,20.61
"ANFI","Consumer Goods","Food - Major Diversified",287.47,0.51,,27.80%,25.00%,17.20%,16.90%,96.00%,11.10%,4.60%,7.30,
"ANGI","Technology","Internet Software & Services",624.32,1.84,53.10%,18.70%,10.00%,42.30%,23.90%,85.60%,5.40%,4.40%,10.06,9.92
"ANGL","Financial","Exchange Traded Fund",,,,,,,,,,,28.32,
"ANGO","Healthcare","Medical Instruments & Supplies",626.44,1.77,15.56%,-41.80%,18.00%,10.40%,-6.30%,49.30%,,,16.59,17.38
"ANH","Financial","REIT - Diversified",504.40,3.45,5200.00%,-38.00%,0.20%,-7.70%,0.30%,56.20%,-7.20%,-11.60%,5.04,5.75
"ANIK","Healthcare","Biotechnology",722.91,6.99,6.16%,44.70%,15.00%,10.90%,14.50%,77.80%,52.60%,33.80%,47.28,56.00
"ANIP","Healthcare","Biotechnology",754.75,8.40,13.00%,15.50%,15.40%,98.50%,9.60%,75.50%,28.50%,11.00%,63.80,74.25
"ANSS","Technology","Application Software",8338.91,8.67,7.78%,10.90%,10.00%,10.20%,11.40%,84.80%,38.10%,27.10%,93.58,93.89
"ANTE","Healthcare","Biotechnology",,,,,,,,,,,,
"ANTH","Healthcare","Biotechnology",141.24,50.44,2.20%,41.20%,,,-88.80%,,,,3.29,10.60
"ANTM","Healthcare","Health Care Plans",32923.99,0.40,9.40%,6.20%,10.96%,6.20%,8.30%,,6.10%,2.80%,124.34,165.82
"ANW","Basic Materials","Major Integrated Oil & Gas",485.23,0.13,19.92%,12.80%,10.50%,-3.20%,5.50%,9.30%,2.40%,1.10%,9.62,14.00
"ANY","Technology","Application Software",26.57,0.35,47.70%,-59.00%,20.00%,655.10%,-41.40%,29.40%,-57.90%,-60.50%,0.62,3.00
"AOA","Financial","Exchange Traded Fund",,,,,,,,,,,46.94,
"AOD","Financial","Closed-End Fund - Foreign",,,,0.00%,,,,,,,7.56,
"AOI","Consumer Goods","Tobacco Products, Other",216.28,0.11,,23.80%,,-1.90%,10.20%,12.10%,10.50%,3.20%,22.32,6.00
"AOK","Financial","Exchange Traded Fund",,,,,,,,,,,33.06,
"AOM","Financial","Exchange Traded Fund",,,,,,,,,,,35.71,
"AON","Financial","Insurance Brokers",30016.45,2.59,10.60%,14.70%,9.46%,6.50%,13.20%,,17.10%,12.70%,110.31,111.93
"AOR","Financial","Exchange Traded Fund",,,,,,,,,,,40.67,
"AOS","Industrial Goods","Industrial Electrical Equipment",8651.72,3.37,11.03%,38.50%,11.50%,11.20%,16.70%,41.40%,17.30%,12.20%,93.28,93.45
"AOSL","Technology","Semiconductor - Specialized",501.42,1.49,68.94%,-15.80%,-2.00%,-1.50%,-1.00%,19.60%,0.40%,-0.90%,20.91,19.17
"AP","Industrial Goods","Diversified Machinery",132.51,0.49,,-38.60%,,-6.10%,1.10%,17.00%,-1.70%,-2.80%,10.28,
"APA","Basic Materials","Independent Oil & Gas",22247.30,4.27,281.20%,-55.20%,-14.60%,-12.00%,-137.00%,68.50%,,,58.70,57.26
"APAM","Financial","Asset Management",2029.92,2.72,0.99%,-3.06%,4.17%,16.10%,71.50%,,33.50%,8.20%,26.99,27.29
"APB","Financial","Closed-End Fund - Foreign",,,,0.00%,,,,,,,10.59,
"APC","Basic Materials","Independent Oil & Gas",29709.49,4.05,80.60%,-60.50%,8.40%,-4.60%,-20.80%,74.70%,-82.00%,-71.10%,56.93,66.87
"APD","Basic Materials","Chemicals - Major Diversified",32655.09,3.43,9.03%,6.30%,10.02%,2.80%,9.60%,32.20%,21.20%,6.10%,146.58,161.06
"APDN","Technology","Security Software & Services",75.59,11.63,100.00%,16.90%,,76.90%,-62.30%,98.10%,,,2.99,8.00
"APEI","Services","Education & Training Services",322.35,1.00,-10.85%,4.00%,-1.90%,10.60%,13.60%,63.50%,16.40%,10.40%,19.56,25.00
"APF","Financial","Closed-End Fund - Foreign",,,,0.00%,,,,,,,13.82,
"APFH","Consumer Goods","Processed & Packaged Goods",1947.44,1.25,-15.28%,0.00%,21.55%,,17.00%,,,,24.72,28.00
"APH","Technology","Diversified Electronics",19890.62,3.38,10.62%,11.40%,7.40%,9.40%,13.60%,31.90%,19.10%,13.00%,62.79,63.55
"APHB","Healthcare","Biotechnology",17.34,34.69,39.30%,-16.00%,,-47.70%,-80.00%,,,,1.55,11.00
"APIC","Technology","Application Software",521.95,6.10,32.50%,0.00%,,,-59.50%,69.10%,-51.10%,-52.00%,17.41,16.50
"APLE","Financial","REIT - Hotel/Motel",3284.59,3.51,6.11%,80.20%,,41.20%,3.70%,55.00%,16.70%,12.70%,18.46,19.20
"APLP","Basic Materials","Oil & Gas Equipment & Services",840.57,1.36,27.64%,-13.60%,,22.50%,-0.50%,61.90%,-7.50%,-21.00%,13.69,15.93
"APO","Financial","Diversified Investments",3380.03,2.89,18.69%,-5.90%,28.38%,-13.20%,7.40%,,27.40%,14.90%,18.14,20.19
"APOG","Industrial Goods","General Building Materials",1331.29,1.35,16.80%,44.70%,10.00%,11.00%,15.30%,25.50%,10.70%,7.20%,43.28,59.00
"APOL","Services","Education & Training Services",868.36,0.40,-38.11%,-33.40%,,-12.20%,4.80%,48.60%,-3.50%,-5.40%,8.08,9.50
"APPF","Technology","Application Software",682.84,7.58,26.70%,0.00%,30.00%,,-20.70%,55.10%,-15.80%,-16.10%,19.65,18.00
"APPS","Technology","Application Software",86.67,0.94,85.20%,25.00%,25.00%,56.60%,-28.20%,11.40%,-27.60%,-29.70%,1.30,2.94
"APPY","Healthcare","Diagnostic Substances",16.38,249.80,,51.20%,20.00%,-22.80%,-48.10%,,,,4.19,4.00
"APRI","Healthcare","Drug Manufacturers - Other",28.33,5.67,70.60%,31.20%,,-0.50%,4270.00%,89.90%,,,0.44,
"APT","Industrial Goods","General Building Materials",51.04,1.09,,-0.10%,15.00%,1.40%,2.80%,36.40%,6.00%,4.10%,3.06,2.50
"APTS","Financial","REIT - Residential",335.57,2.21,9.40%,-44.40%,7.00%,,1.50%,79.60%,14.00%,-22.40%,13.17,16.00
"APU","Utilities","Gas Utilities",4264.98,1.83,32.59%,-7.30%,9.79%,4.50%,10.80%,67.60%,17.70%,8.80%,44.45,46.75
"APWC","Industrial Goods","Industrial Electrical Equipment",31.00,0.08,,-20.80%,,-2.70%,-1.90%,6.00%,,,2.37,
"AQMS","Industrial Goods","Waste Management",145.14,,109.50%,0.00%,35.00%,,,,,,8.77,14.33
"AQXP","Healthcare","Drugs - Generic",238.80,,1.90%,0.00%,,,,,,,13.63,19.60
"AR","Basic Materials","Oil & Gas Drilling & Exploration",8313.16,2.95,-57.24%,30.70%,40.16%,53.00%,11.50%,96.00%,,3.20%,26.62,33.18
"ARA","Healthcare","Medical Laboratories & Research",627.52,0.90,19.51%,28.60%,17.23%,16.60%,25.00%,40.30%,21.00%,0.80%,19.61,31.00
"ARAY","Healthcare","Medical Appliances & Equipment",462.03,1.16,106.20%,6.50%,,12.40%,-2.70%,39.80%,,,5.46,8.36
"ARC","Services","Business Services",167.85,0.40,0.00%,39.90%,10.00%,-0.60%,27.90%,33.80%,-10.20%,7.20%,3.42,5.55
"ARCB","Services","Trucking",526.42,0.20,58.30%,26.90%,8.80%,10.00%,5.90%,74.30%,1.80%,1.10%,19.49,19.88
"ARCC","Financial","Diversified Investments",4998.13,4.92,5.42%,-21.00%,2.75%,16.20%,5.40%,54.20%,50.20%,41.40%,15.50,16.70
"ARCI","Services","Electronics Stores",6.01,0.06,,-26.80%,,0.70%,-8.00%,23.30%,-4.50%,-4.00%,1.00,4.00
"ARCO","Services","Restaurants",1112.62,0.38,-3.33%,-19.80%,16.20%,0.20%,7.50%,11.70%,3.80%,-0.20%,5.08,5.40
"ARCW","Industrial Goods","Metal Fabrication",57.50,0.55,66.70%,-2.30%,15.00%,92.10%,2.10%,19.70%,2.00%,-2.20%,3.10,4.67
"ARCX","Basic Materials","Oil & Gas Pipelines",290.36,2.86,42.17%,114.68%,2.00%,,1.40%,,17.70%,11.30%,15.06,17.00
"ARDM","Healthcare","Drug Delivery",64.46,13.71,,6.90%,,39.80%,-74.30%,,,,4.37,26.00
"ARDX","Healthcare","Biotechnology",570.43,,7.60%,0.00%,30.00%,,-27.00%,,,,11.24,18.33
"ARE","Financial","REIT - Office",8803.37,9.95,8.90%,-2.30%,7.10%,13.40%,3.20%,69.40%,8.80%,-7.20%,105.67,114.32
"ARES","Financial","Asset Management",3981.89,4.92,43.53%,-40.50%,30.62%,30.30%,-0.30%,,1.70%,2.80%,18.60,18.67
"AREX","Basic Materials","Independent Oil & Gas",139.78,1.40,27.50%,12.15%,5.00%,17.90%,-15.30%,64.50%,,,2.99,2.54
"ARGS","Healthcare","Biotechnology",215.40,239.33,4.00%,-43.90%,,-41.00%,-377.90%,,,,4.87,12.17
"ARGT","Financial","Exchange Traded Fund",,,,,,,,,,,22.67,
"ARI","Financial","REIT - Diversified",1153.51,4.98,2.52%,12.20%,5.35%,42.70%,4.60%,75.80%,59.30%,26.10%,16.72,16.79
"ARIA","Healthcare","Biotechnology",2305.60,13.62,-511.10%,-29.50%,30.00%,-7.90%,-62.90%,98.50%,-99.50%,-35.00%,11.70,10.43
"ARII","Services","Railroads",795.58,1.05,-16.50%,47.70%,6.00%,26.60%,11.90%,29.10%,24.80%,14.20%,38.98,42.67
"ARIS","Technology","Application Software",79.04,1.82,33.00%,-14.20%,20.00%,13.50%,4.00%,80.70%,7.70%,3.80%,4.59,5.75
"ARKG","Financial","Exchange Traded Fund",,,,,,,,,,,19.25,
"ARKK","Financial","Exchange Traded Fund",,,,,,,,,,,21.20,
"ARKQ","Financial","Exchange Traded Fund",,,,,,,,,,,21.10,
"ARKR","Services","Restaurants",80.62,0.53,,15.70%,,4.40%,14.20%,73.50%,5.90%,3.80%,23.30,17.00
"ARKW","Financial","Exchange Traded Fund",,,,,,,,,,,24.49,
"ARL","Financial","Property Management",95.88,0.82,,50.00%,,-0.40%,0.60%,47.40%,7.00%,-7.10%,6.18,
"ARLP","Basic Materials","Industrial Metals & Minerals",1545.26,0.79,-47.09%,-8.80%,-6.83%,7.10%,17.70%,98.40%,14.30%,6.20%,20.44,20.00
"ARLZ","Healthcare","Biotechnology",367.13,11.32,41.80%,-10.47%,30.00%,,,,,,5.69,10.00
"ARMK","Services","Specialty Eateries",9322.57,0.65,12.49%,43.80%,12.87%,2.90%,7.30%,10.30%,4.90%,1.80%,37.38,41.60
"ARNA","Healthcare","Biotechnology",454.75,12.56,5.70%,17.00%,,18.20%,-84.70%,65.00%,,,1.79,3.75
"AROW","Financial","Regional - Northeast Banks",433.40,5.84,5.39%,1.90%,6.90%,-3.60%,23.10%,,90.30%,34.60%,32.66,32.00
"ARQL","Healthcare","Biotechnology",106.35,13.81,24.20%,20.20%,5.00%,-17.40%,-48.50%,,,,1.43,3.92
"ARR","Financial","REIT - Residential",842.53,,-7.66%,-16.20%,,47.60%,-0.20%,,,,22.05,20.07
"ARRS","Technology","Communication Equipment",5690.67,1.00,13.42%,4.30%,20.10%,34.60%,5.70%,27.30%,1.10%,-1.10%,28.34,34.43
"ARRY","Healthcare","Biotechnology",546.19,3.96,22.10%,8.60%,10.00%,13.90%,-108.50%,83.20%,-59.70%,-67.30%,3.51,8.00
"ARTNA","Utilities","Water Utilities",261.09,3.37,10.77%,4.60%,4.00%,3.50%,7.10%,,32.70%,14.70%,27.14,16.00
"ARTW","Industrial Goods","Farm & Construction Machinery",11.98,0.48,,-20.30%,,-0.70%,-0.30%,23.70%,-4.00%,-3.70%,2.90,7.00
"ARTX","Industrial Goods","Industrial Electrical Equipment",78.27,0.80,122.20%,-17.90%,,12.20%,-2.10%,30.30%,1.60%,-1.70%,2.84,4.50
"ARW","Services","Electronics Wholesale",5901.20,0.25,6.12%,5.30%,12.15%,4.40%,9.60%,13.10%,3.50%,2.10%,62.02,70.20
"ARWA","Conglomerates","Conglomerates",31.06,,,,,,,,,,10.11,
"ARWR","Healthcare","Biotechnology",463.39,2316.93,-1.50%,-26.90%,7.33%,,-86.50%,,,,7.14,9.42
"ASA","Financial","Asset Management",298.37,229.52,,-21.40%,,-19.60%,-1.10%,-7.20%,,,14.72,
"ASB","Financial","Regional - Midwest Banks",2956.91,3.83,8.86%,54.10%,7.00%,-1.30%,14.90%,,81.40%,22.40%,19.47,19.22
"ASBB","Financial","Regional - Mid-Atlantic Banks",95.50,3.62,,20.40%,,-5.10%,21.90%,,85.00%,18.60%,25.00,
"ASC","Services","Shipping",243.87,1.42,29.49%,83.80%,10.00%,114.70%,5.80%,52.60%,27.50%,18.10%,7.04,10.36
"ASCMA","Services","Security & Protection Services",277.50,0.49,19.90%,-23.10%,15.00%,128.10%,1.90%,74.60%,5.80%,-17.60%,20.51,20.50
"ASEA","Financial","Exchange Traded Fund",,,,,,,,,,,13.80,
"ASEI","Technology","Scientific & Technical Instruments",264.17,2.65,,-16.00%,-9.20%,-18.00%,-2.30%,45.10%,,,37.05,35.00
"ASET","Financial","Exchange Traded Fund",,,,,,,,,,,26.19,
"ASFI","Services","Business Services",124.94,2.27,,-6.80%,10.00%,-0.70%,1.20%,94.50%,19.20%,7.80%,10.10,8.00
"ASG","Financial","Closed-End Fund - Equity",,,,0.00%,,,,,,,4.23,
"ASGN","Services","Staffing & Outsourcing Services",2004.75,0.86,8.39%,47.40%,12.40%,36.40%,6.60%,33.10%,7.80%,3.70%,36.67,43.70
"ASH","Basic Materials","Chemicals - Major Diversified",7500.58,1.51,9.55%,20.00%,6.89%,-1.30%,5.40%,31.40%,7.60%,3.90%,118.68,130.63
"ASHR","Financial","Exchange Traded Fund",,,,,,,,,,,24.61,
"ASHS","Financial","Exchange Traded Fund",,,,,,,,,,,34.56,
"ASM","Basic Materials","Industrial Metals & Minerals",101.07,5.55,562.50%,18.50%,,,2.50%,36.70%,19.00%,-2.80%,2.15,3.28
